CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER.0
0000000276;;COUNTRY;РљР°Р·Р°С…СЃС‚Р°РЅ;Kazakhstan;;;;;;
0000000277;0000000276;REGION;РђР»РјР°С‚РёРЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Almaty region;;;;;;
0000000278;0000000277;CITY;РђР»РјР°С‚С‹;Almaty;;;;;;
0000000279;0000000277;CITY;РЈС€С‚РѕР±Рµ;Ushtob;;;;;;
0000000280;0000000277;CITY;РЈС€Р°СЂР°Р»;Ushara;;;;;;
0000000281;0000000277;CITY;РўРµРєРµР»Рё;Tekeli;;;;;;
0000000282;0000000277;CITY;РўР°Р»РіР°СЂ;Talgar;;;;;;
0000000283;0000000277;CITY;РљР°СЃРєРµР»РµРЅ;Kaskelen;;;;;;
0000000284;0000000277;CITY;РљР°РїС‡Р°РіР°Р№;Kapchaga;;;;;;
0000000285;0000000277;CITY;Р•СЃРёРє;Esik;;;;;;
0000000286;0000000277;CITY;Р–Р°СЂРєРµРЅС‚;Zharken;;;;;;
0000000287;0000000277;CITY;РўР°Р»РґС‹РєРѕСЂРіР°РЅ;Taldykorgan;;;;;;
0000000288;0000000276;REGION;РђС‚С‹СЂР°Сѓ;Atyrau region;;;;;;
0000000289;0000000288;CITY;РђС‚С‹СЂР°Сѓ;Atyrau;;;;;;
0000000290;0000000276;REGION;Р’РѕСЃС‚РѕС‡РЅРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;East Kazakhstan region;;;;;;
0000000291;0000000290;CITY;РЁРµРјРѕРЅР°РёС…Р°;Shemonaix;;;;;;
0000000292;0000000290;CITY;РђСЏРіРѕР·;Ayago;;;;;;
0000000293;0000000290;CITY;РЈСЃС‚СЊ-РљР°РјРµРЅРѕРіРѕСЂСЃРє;Ust-Kamenogorsk ;;;;;;
0000000294;0000000290;CITY;Р—С‹СЂСЏРЅРѕРІСЃРє;Zyrayanov;;;;;;
0000000295;0000000290;CITY;РљСѓСЂС‡Р°С‚РѕРІ;Kurchato;;;;;;
0000000296;0000000290;CITY;Р РёРґРґРµСЂ;Ridder;;;;;;
0000000297;0000000290;CITY;РЎРµРјРёРїР°Р»Р°С‚РёРЅСЃРє;Semipalatinsk;;;;;;
0000000298;0000000290;CITY;РЎРµСЂРµР±СЂСЏРЅСЃРє;Serebryans;;;;;;
0000000299;0000000290;CITY;РЁСѓР»СЊР±РёРЅСЃРє;Shulbinsk;;;;;;
0000000300;0000000276;REGION;Р–Р°РјР±С‹Р»СЊСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Jambyl region;;;;;;
0000000301;0000000300;CITY;РљСѓР»Р°РЅ;Kulan;;;;;;
0000000302;0000000300;CITY;РљРѕСЂРґР°Р№;Korday;;;;;;
0000000303;0000000300;CITY;Р–Р°РЅР°С‚Р°СЃ;Zhanata;;;;;;
0000000304;0000000300;CITY;РўР°СЂР°Р·;Taraz;;;;;;
0000000305;0000000300;CITY;РЁСѓ;Ch;;;;;;
0000000306;0000000276;REGION;Р—Р°РїР°РґРЅРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;West Kazakhstan region;;;;;;
0000000307;0000000306;CITY;РђРєСЃР°Р№;Aksay;;;;;;
0000000308;0000000306;CITY;РЈСЂР°Р»СЊСЃРє;Uralsk ;;;;;;
0000000309;0000000306;CITY;Р§Р°РїР°РµРІ;Chapaev;;;;;;
0000000310;0000000276;REGION;РљР°СЂР°РіР°РЅРґРёРЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Karagandy region;;;;;;
0000000311;0000000310;CITY;РЎР°С‚РїР°РµРІ;Satpaev;;;;;;
0000000312;0000000310;CITY;РЎР°СЂР°РЅСЊ;Sarany;;;;;;
0000000313;0000000310;CITY;РљР°СЂР°Р¶Р°Р»;Karazal;;;;;;
0000000314;0000000310;CITY;РљР°СЂР°РіР°РЅРґР°;Karaganda;;;;;;
0000000315;0000000310;CITY;Р‘Р°Р»С…Р°С€;Balkas;;;;;;
0000000316;0000000310;CITY;Р–РµР·РєР°Р·РіР°РЅ;Dzhezkazg;;;;;;
