CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000028023;;COUNTRY;Р РѕСЃСЃРёСЏ;Russian Federation;;225;;;;
0000028024;0000028023;COUNTRY_DISTRICT;Р¦РµРЅС‚СЂ;;;3;;;;
0000028025;0000028024;REGION;РњРѕСЃРєРѕРІСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;1;;;;
0000028026;0000028024;REGION;Р‘РµР»РіРѕСЂРѕРґСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10645;;;;
0000028027;0000028024;REGION;Р�РІР°РЅРѕРІСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10687;;;;
0000028028;0000028024;REGION;РљР°Р»СѓР¶СЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10693;;;;
0000028029;0000028024;REGION;РљРѕСЃС‚СЂРѕРјСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10699;;;;
0000028030;0000028024;REGION;РљСѓСЂСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10705;;;;
0000028031;0000028024;REGION;Р›РёРїРµС†РєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10712;;;;
0000028032;0000028024;REGION;РћСЂР»РѕРІСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10772;;;;
0000028033;0000028024;REGION;Р СЏР·Р°РЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10776;390000;;;
0000028034;0000028024;REGION;РЎРјРѕР»РµРЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10795;;;;
0000028035;0000028024;REGION;РўР°РјР±РѕРІСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10802;392000;;;
0000028036;0000028024;REGION;РўРІРµСЂСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10819;;;;
0000028037;0000028024;REGION;РўСѓР»СЊСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10832;;;;
0000028038;0000028024;REGION;РЇСЂРѕСЃР»Р°РІСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;;;10841;;;;
