CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000000364;;COUNTRY;РЈРєСЂР°РёРЅР°;Ukraine;РЈРєСЂР°С—РЅР°;187;;;;
0000000365;0000000364;COUNTRY_DISTRICT;Р®Рі;;РџС–РІРґРµРЅСЊ;20526;;;;
0000000366;0000000365;REGION;РђРІС‚РѕРЅРѕРјРЅР°СЏ Р РµСЃРїСѓР±Р»РёРєР° РљСЂС‹Рј;;РђРІС‚РѕРЅРѕРјРЅР° Р РµСЃРїСѓР±Р»С–РєР° РљСЂРёРј;;;;;
0000000367;0000000366;SUBREGION;;;РђР»СѓС€С‚Р°, РјС–СЃС‚Рѕ;;;;;
0000000368;0000000366;CITY;РђР»СѓС€С‚Р°;;РђР»СѓС€С‚Р°;;98500;;;98532,98524,98545,98531,98530,98540,98520,98542,98521,98522,98523,98541,98500
0000000369;0000000368;VILLAGE;Р’РµСЂС…РЅСЏСЏ РљСѓС‚СѓР·РѕРІРєР° РїРѕСЃРµР»РѕРє;;Р’РµСЂС…РЅСЏ РљСѓС‚СѓР·РѕРІРєР° СЃРµР»РёС‰Рµ;;98532;;;
0000000370;0000000368;VILLAGE;Р“РµРЅРµСЂР°Р»СЊСЃРєРѕРµ РїРѕСЃРµР»РѕРє;;Р“РµРЅРµСЂР°Р»СЊСЃСЊРєРµ СЃРµР»РёС‰Рµ;;98524;;;
0000000371;0000000368;VILLAGE;Р—Р°РїСЂСѓРґРЅРѕРµ РїРѕСЃРµР»РѕРє;;Р—Р°РїСЂСѓРґРЅРµ СЃРµР»РёС‰Рµ;;98545;;;
0000000372;0000000368;VILLAGE;Р�Р·РѕР±РёР»СЊРЅРѕРµ РїРѕСЃРµР»РѕРє;;Р†Р·РѕР±С–Р»СЊРЅРµ СЃРµР»РёС‰Рµ;;98531;;;
0000000373;0000000368;VILLAGE;Р›СѓС‡РёСЃС‚РѕРµ РїРѕСЃРµР»РѕРє;;Р›СѓС‡РёСЃС‚Рµ СЃРµР»РёС‰Рµ;;98530;;;
0000000374;0000000368;VILLAGE;РњР°Р»С‹Р№ РњР°СЏРє РїРѕСЃРµР»РѕРє;;РњР°Р»РёР№ РњР°СЏРє СЃРµР»РёС‰Рµ;;98540;;;
0000000375;0000000368;VILLAGE;РњР°Р»РѕСЂРµС‡РµРЅСЃРєРѕРµ РїРѕСЃРµР»РѕРє;;РњР°Р»РѕСЂС–С‡РµРЅСЃСЊРєРµ СЃРµР»РёС‰Рµ;;98520;;;
0000000376;0000000368;VILLAGE;РќРёР¶РЅСЏСЏ РљСѓС‚СѓР·РѕРІРєР° РїРѕСЃРµР»РѕРє;;РќРёР¶РЅСЏ РљСѓС‚СѓР·РѕРІРєР° СЃРµР»РёС‰Рµ;;98532;;;
0000000377;0000000368;VILLAGE;РџР°СЂС‚РµРЅРёС‚ РїРѕСЃРµР»РѕРє;;РџР°СЂС‚РµРЅС–С‚ СЃРµР»РёС‰Рµ;;98542;;;
0000000378;0000000368;VILLAGE;РџСЂРёРІРµС‚РЅРѕРµ РїРѕСЃРµР»РѕРє;;РџСЂРёРІС–С‚РЅРµ СЃРµР»РёС‰Рµ;;98521;;;
