CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER.0
0000000001;;COUNTRY;Р‘РµР»Р°СЂСѓСЃСЊ;Belarus;;149;;;;
0000000276;;COUNTRY;РљР°Р·Р°С…СЃС‚Р°РЅ;Kazakhstan;;;;;;
0000000364;;COUNTRY;РЈРєСЂР°РёРЅР°;Ukraine;РЈРєСЂР°С—РЅР°;187;;;;
0000011327;;COUNTRY;РЎРЁРђ;USA;;;;;;
0000027948;;COUNTRY;РљР°РЅР°РґР°;Canada;;;;;;
0000027949;;COUNTRY;РђР»Р±Р°РЅРёСЏ;Albania;;;;;;
0000027950;;COUNTRY;РђРЅРґРѕСЂСЂР°;Andorra;;;;;;
0000027951;;COUNTRY;РђРІСЃС‚СЂРёСЏ;Austria;;;;;;
0000027952;;COUNTRY;Р‘РµР»СЊРіРёСЏ;Belgium;;;;;;
0000027953;;COUNTRY;Р‘РѕР»РіР°СЂРёСЏ;Bulgaria;;;;;;
0000027954;;COUNTRY;РҐРѕСЂРІР°С‚РёСЏ;Croatia;;;;;;
0000027955;;COUNTRY;Р”Р°РЅРёСЏ;Denmark;;;;;;
0000027956;;COUNTRY;Р¤РёРЅР»СЏРЅРґРёСЏ;Finland;;;;;;
0000027957;;COUNTRY;Р¤СЂР°РЅС†РёСЏ;France;;;;;;
0000027958;;COUNTRY;Р“РµСЂРјР°РЅРёСЏ;Germany;;;;;;
0000027959;;COUNTRY;Р“СЂРµС†РёСЏ;Greece;;;;;;
0000027960;;COUNTRY;Р’РµРЅРіСЂРёСЏ;Hungary;;;;;;
0000027961;;COUNTRY;Р�СЃР»Р°РЅРґРёСЏ;Iceland;;;;;;
0000027962;;COUNTRY;Р�С‚Р°Р»РёСЏ;Italy;;;;;;
0000027963;;COUNTRY;Р›РёС…С‚РµРЅС€С‚РµР№РЅ;Liechtenstein;;;;;;
0000027964;;COUNTRY;Р›СЋРєСЃРµРјР±СѓСЂРі;Luxembourg;;;;;;
0000027965;;COUNTRY;РњР°РєРµРґРѕРЅРёСЏ;Macedonia;;;;;;
0000027966;;COUNTRY;РњР°Р»СЊС‚Р°;Malta;;;;;;
0000027967;;COUNTRY;РњРѕРЅР°РєРѕ;Monaco;;;;;;
0000027968;;COUNTRY;РќРёРґРµСЂР»Р°РЅРґС‹;Netherlands;;;;;;
0000027969;;COUNTRY;РќРѕСЂРІРµРіРёСЏ;Norway;;;;;;
0000027970;;COUNTRY;РџРѕР»СЊС€Р°;Poland;;;;;;
0000027971;;COUNTRY;РџРѕСЂС‚СѓРіР°Р»РёСЏ;Portugal;;;;;;
0000027972;;COUNTRY;Р СѓРјС‹РЅРёСЏ;Romania;;;;;;
0000027973;;COUNTRY;РЎР»РѕРІР°РєРёСЏ;Slovakia;;;;;;
0000027974;;COUNTRY;РЎР»РѕРІРµРЅРёСЏ;Slovenia;;;;;;
0000027975;;COUNTRY;Р�СЂР»Р°РЅРґРёСЏ;Ireland;;;;;;
0000027976;;COUNTRY;Р�СЃРїР°РЅРёСЏ;Spain;;;;;;
0000027977;;COUNTRY;РЁРІРµС†РёСЏ;Sweden;;;;;;
0000027978;;COUNTRY;РЁРІРµР№С†Р°СЂРёСЏ;Switzerland;;;;;;
0000027979;;COUNTRY;Р’РµР»РёРєРѕР±СЂРёС‚Р°РЅРёСЏ;UK;;;;;;
0000027980;;COUNTRY;Р’Р°С‚РёРєР°РЅ;Vatican City;;;;;;
0000027981;;COUNTRY;Р®РіРѕСЃР»Р°РІРёСЏ;Yugoslavia;;;;;;
0000027982;;COUNTRY;Р‘РѕСЃРЅРёСЏ Рё Р“РµСЂС†РµРіРѕРІРёРЅР°;Bosnia-Herzegovina;;;;;;
0000027983;;COUNTRY;Р§РµС€СЃРєР°СЏ СЂРµСЃРїСѓР±Р»РёРєР°;Czech Republic;;;;;;
0000027984;;COUNTRY;РњРµРєСЃРёРєР°;Mexico;;;;;;
0000027985;;COUNTRY;Р�Р·СЂР°РёР»СЊ;Israel;;;;;;
0000027986;;COUNTRY;РђРІСЃС‚СЂР°Р»РёСЏ;Australia;;;;;;
0000027987;;COUNTRY;РђРЅРіРѕР»Р°;Angola;;;;;;
0000027988;;COUNTRY;РќРѕРІР°СЏ Р—РµР»Р°РЅРґРёСЏ;New Zealand;;;;;;
0000027989;;COUNTRY;РђР·РµСЂР±Р°Р№РґР¶Р°РЅ;Azerbaijan;;;;;;
0000027996;;COUNTRY;Р­СЃС‚РѕРЅРёСЏ;Estonia;;;;;;
0000027999;;COUNTRY;Р“СЂСѓР·РёСЏ;Georgia;;;;;;
0000028003;;COUNTRY;Р›Р°С‚РІРёСЏ;Latvia;;;;;;
0000028010;;COUNTRY;Р›РёС‚РІР°;Lithuania;;;;;;
0000028014;;COUNTRY;РњРѕР»РґР°РІРёСЏ;Moldova;;;;;;
0000028017;;COUNTRY;РўСѓСЂРєРјРµРЅРёСЃС‚Р°РЅ;Turkmenistan;;;;;;
0000028018;;COUNTRY;РђСЂРјРµРЅРёСЏ;Armenia;;;;;;
0000028020;;COUNTRY;РўР°РґР¶РёРєРёСЃС‚Р°РЅ;Tajikistan;;;;;;
0000028021;;COUNTRY;РЈР·Р±РµРєРёСЃС‚Р°РЅ;Uzbekistan;;;;;;
0000028022;;COUNTRY;РљС‹СЂРіС‹Р·СЃС‚Р°РЅ;Kyrgyzstan;;;;;;
0000028023;;COUNTRY;Р РѕСЃСЃРёСЏ;Russian Federation;;225;;;;
